festivalName,skiddleTicketUrl
Terminal V,https://www.skiddle.com/festivals/terminal-v-festival/?sktag=15628
Tomorrowland,https://www.skiddle.com/festivals/tomorrowland/?sktag=15628
Tomorrowland Winter,https://www.skiddle.com/festivals/tomorrowland-winter/?sktag=15628
Ultra Europe,NO_SKIDDLE
Creamfields,https://www.skiddle.com/festivals/creamfields/?sktag=15628
Boomtown Fair,https://www.skiddle.com/festivals/boom-town/?sktag=15628
Sziget,https://www.skiddle.com/festivals/sziget-festival/?sktag=15628
EXIT Festival,https://www.skiddle.com/festivals/exit/?sktag=15628
Untold Festival,https://www.skiddle.com/festivals/untold-festival/?sktag=15628
Parookaville,NO_SKIDDLE
Primavera Sound,https://www.skiddle.com/festivals/primavera-sound-barcelona/?sktag=15628
Download Festival,https://www.skiddle.com/festivals/download-festival/?sktag=15628
Awakenings,https://www.skiddle.com/festivals/awakenings/?sktag=15628
Dekmantel,https://www.skiddle.com/festivals/dekmantel/?sktag=15628
Sonar Barcelona,https://www.skiddle.com/festivals/sonar/?sktag=15628
Defected Croatia,https://www.skiddle.com/festivals/defected-croatia/?sktag=15628
EDC Las Vegas,https://www.skiddle.com/festivals/electric-daisy-carnival/?sktag=15628
Movement Detroit,NO_SKIDDLE
Kappa FuturFestival,https://www.skiddle.com/festivals/kappa-futurfestival/?sktag=15628
Latitude Festival,https://www.skiddle.com/festivals/latitude-festival/?sktag=15628
Dimensions Festival,https://www.skiddle.com/festivals/dimensions-festival/?sktag=15628
Hospitality in Park,https://www.skiddle.com/festivals/hospitality-in-the-park/?sktag=15628
Mystic Garden,https://www.skiddle.com/festivals/mystic-garden-festival/?sktag=15628
Sea Star Festival,https://www.skiddle.com/festivals/sea-star-festival/?sktag=15628
Defqon.1,NO_SKIDDLE
Balaton Sound,https://www.skiddle.com/festivals/balaton-sound/?sktag=15628
Parklife,https://www.skiddle.com/festivals/Parklife2/?sktag=15628
Lovebox,https://www.skiddle.com/festivals/lovebox/?sktag=15628
SW4,https://www.skiddle.com/festivals/south-west-four/?sktag=15628
We Are FSTVL,https://www.skiddle.com/festivals/wearefstvl/?sktag=15628
Junction 2,https://www.skiddle.com/festivals/junction-2/?sktag=15628
Lost Village,https://www.skiddle.com/festivals/lost-village/?sktag=15628
Green Man,https://www.skiddle.com/festivals/green-man/?sktag=15628
Shambala,https://www.skiddle.com/festivals/shambala/?sktag=15628
Ozora,NO_SKIDDLE
Outlook Festival,NO_SKIDDLE
Nozstock,https://www.skiddle.com/festivals/nozstock/?sktag=15628
Bluedot,https://www.skiddle.com/festivals/bluedot-festival/?sktag=15628
Forbidden Forest,https://www.skiddle.com/festivals/forbidden-forest/?sktag=15628
Cross The Tracks,https://www.skiddle.com/festivals/CrossTheTracks/?sktag=15628
